job_title,location,company,salary,rating,summary
Research Analyst - Corporate Credit (2-3 years) – San Mateo,"San Mateo, CA 94403 (Bay Meadows area)",Franklin Templeton Investments,,4.0,Compile data from multiple sources to develop detailed financial models. Conduct independent research by speaking with company management and industry contacts.
Data Scientist,"San Mateo, CA",OneSignal,,,Assist in architecting and designing a scalable data warehouse that can be connected to a business intelligence tool.
Senior Business Intelligence Analyst,"San Francisco, CA 94102 (Downtown area)",Intuit,,4.2,In this role you will be executing our “self-serve data” vision by creating dashboards for the Quickbooks ecosystem of products for a wide set of users…
Integration and Business Intelligence Developer,"Oakland, CA",XL Construction,,4.3,"You will also work with business analysts to monitor, identify, troubleshoot, and correct issues or gaps that occur during data movement and processing,…"
Business Intelligence Engineer (ETL),"Redwood City, CA",Stanford University,,4.2,"Contribute to data analysis, design and development of new and ongoing business intelligence (BI) projects involving complex EDW structures OR on OLTP systems."
Data Labs Analyst Role,"Redwood City, CA",TCS,,3.8,"Client is looking for Data Labs Analyst with Business & Data Analyst experience, will be important to have Business understanding and how the data will be used…"
Sr. Business Analyst,"San Mateo, CA 94402 (Nineteenth Avenue area)",Rakuten Shop Style,,,"Experience coordinating with BI, Data Engineers to research oddities or understand new data sets. 6+ years of experience analyzing data in a data-driven…"
Data Analyst,"Redwood City, CA 94065 (Westport area)",Nevro Corp.,,,"Experience with data analytics is necessary – utilizing Tableau or any other equivalent data platforms. Technical expertise regarding data models, database…"
Data Scientist,"San Francisco, CA",Microcred,,,"Experience manipulating large data sets through SQL or Python. Experience with data pipelining, from data preparation to analysis to deployment."
Data Scientist / Machine Learning Engineer (Remote - WFH),"Redwood City, CA 94065 (Marine area)",PubMatic,,3.9,Distinctive problem-solving skills and impeccable business judgment. Conduct data analysis to make product recommendations and design A/B experiments.
Planner I,"San Francisco, CA (South of Market area)",City & County of San Francisco,$35.04 - $42.59 an hour,4.0,"Possession of a baccalaureate degree from an accredited college or university; AND one (1) year of city or urban planning, transportation, urban design,…"
"Senior Data Analyst, Strategic Planning & Analysis","San Mateo, CA 94403 (Bay Meadows area)",SurveyMonkey,,4.1,Proactively mine data to identify potential opportunities and lead cross-functional teams to action on insights.
Data Analyst (Maxis/Mobile),"Redwood City, CA 94065 (Dolphin area)",Electronic Arts,,3.8,"3+ years’ experience building dashboards in PowerBI or Tableau, developing data models and data visualization techniques for charts and reports."
SQL Analyst / Developer,"Oakland, CA",XL Construction,,4.3,5 years of working with data warehouse or data modeling. Program data pulls as necessary for various business needs. Program ad-hoc queries as needed.
Big Data Developer,"San Francisco, CA","Stefanini, Inc",,3.8,"Partner with business stakeholders to understand and meet their data requirements. Bachelor""s degree in Computer Science, Engineering, or Information Management…"
